	Acute myeloid leukemia	BladderUrothelialCarcinoma(TCGA,US)	Breast Cancer	BreastCarcinoma(WTSI,UK)	BreastInvasiveCarcinoma(TCGA,US)	CervicalSquamousCellCarcinoma(TCGA,US)	Chronic lymphocytic leukaemia	ColonAdenocarcinoma(TCGA,US)	Colorectal adenocarcinoma	GastricCancer(CCGC,CN)	Hepatocellular carcinoma	Hypodiploid_ALL	Leukemia/T-ALL	LiverCancer(NCC,JP)	LiverCancer(RIKEN,JP)	Lung	MalignantMelanoma(WTSI,UK)	Medulloblastoma	Melanoma	Myeloid leukemia	Myeloma	Pancreatic	PediatricBrainTumors(DKFZ,DE)	Prostate	ProstateCancer(OICR,CA)	RectumAdenocarcinoma(TCGA,US)	Small cell lung cancer	T-cell ALL	UterineCorpusEndometrioidCarcinoma(TCGA,US)
C11orf68															28.0														
C11orf70									11.0																39.0				23.0
C11orf73																													13.0
C11orf80														14.0															
C11orf83															24.0	4.0									47.0				
C11orf84														10.0															
C11orf86															24.0														
C11orf87				22.0					6.0					10.0	37.0														
C11orf91														52.0															
C11orf95															13.0														
C12orf23														6.0	11.0														
C12orf4															13.0														
C12orf43																									11.0				
C12orf44														130.0															
C12orf5															11.0														
C12orf56														26.0															
C12orf65														135.0															
C12orf68														14.0															
C12orf74														13.0															
C14orf1														42.0															
C14orf119															8.0										37.0				
C14orf182								33.0																					
C14orf28												32.0			60.0										13.0				
C14orf93			117.0																										
C15orf2																10.0													
C15orf32														22.0															
C15orf38																									15.0				
C15orf38-AP3S2																									47.0				
C15orf40																									20.0				
C15orf41														24.0															
C15orf48															56.0														
C15orf52														80.0											22.0				
C15orf57																		27.0											
C15orf62								52.0						23.0															
C16orf52														16.0											20.0				
C16orf54																									19.0				
C16orf55														53.0															
C16orf58			26.0											24.0															16.0
C16orf70														25.0															
C16orf72															16.0														
C16orf80																						13.0							
C16orf89																													45.0
C16orf95														54.0															
C17orf101									18.0																				
C17orf102														39.0															
C17orf103																									10.0				
C17orf107						30.0																							30.0
C17orf112														6.0															
C17orf49																													18.0
C17orf51														13.0															
C17orf58										26.0																			32.0
C17orf62														196.0															154.0
C17orf72														96.0															64.0
C17orf77																									36.0				
C17orf78															26.0														
C17orf85														16.0															
C17orf89															16.0														
